Node	X	Y	Z
24367	0.059	0.091804	0.016529
24368	0.04	0.091804	0.016529
24369	0.05425	0.091804	0.016529
24370	0.0495	0.091804	0.016529
24371	0.04475	0.091804	0.016529
24372			
24373			
24374			
24375			
24376	0.059	0.098988	0.010367
24377	0.04	0.098988	0.010367
24378	0.05425	0.098988	0.010367
24379	0.0495	0.098988	0.010367
24380	0.04475	0.098988	0.010367
24381			
24382			
24383			
24384			
24385	0.059	0.084804	0.021166
24386	0.04	0.084804	0.021166
24387	0.05425	0.084804	0.021166
24388	0.0495	0.084804	0.021166
24389	0.04475	0.084804	0.021166
24390			
24391			
24392			
24393			
24394	0.059	0.077804	0.024705
24395	0.04	0.077804	0.024705
24396	0.05425	0.077804	0.024705
24397	0.0495	0.077804	0.024705
24398	0.04475	0.077804	0.024705
24399			
24400			
24401			
24402			
24403	0.039	0.077804	0.024705
24404	0.02	0.077804	0.024705
24405	0.03425	0.077804	0.024705
24406	0.0295	0.077804	0.024705
24407	0.02475	0.077804	0.024705
24408			
24409			
24410			
24411			
24412	0.039	0.084804	0.021166
24413	0.02	0.084804	0.021166
24414	0.03425	0.084804	0.021166
24415	0.0295	0.084804	0.021166
24416	0.02475	0.084804	0.021166
24417			
24418			
24419			
24420			
24421	0.039	0.091804	0.016529
24422	0.02	0.091804	0.016529
24423	0.03425	0.091804	0.016529
24424	0.0295	0.091804	0.016529
24425	0.02475	0.091804	0.016529
24426			
24427			
24428			
24429			
24430	0.039	0.098988	0.010367
24431	0.02	0.098988	0.010367
24432	0.03425	0.098988	0.010367
24433	0.0295	0.098988	0.010367
24434	0.02475	0.098988	0.010367
24435			
24436			
24437			
24438			
24439	0.019	0.098988	0.010367
24440	0.0	0.098988	0.010367
24441	0.01425	0.098988	0.010367
24442	0.0095	0.098988	0.010367
24443	0.00475	0.098988	0.010367
24444			
24445			
24446			
24447			
24448	0.019	0.091804	0.016529
24449	0.0	0.091804	0.016529
24450	0.01425	0.091804	0.016529
24451	0.0095	0.091804	0.016529
24452	0.00475	0.091804	0.016529
